what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567106329080
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567106329799
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567106336829
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567106336829
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567106337764
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567106337782
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567106337854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567106378121
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1567106378655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567106380265
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567106382438
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.J2EEPerspective",1567106383961
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1567106384817
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1567106385578
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1567106387973
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1567106407786
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567106409167
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567106409187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567106409244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567106415314
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567106421756
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567106423656
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1567106423794
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1567106423829
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1567106462210
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1567106468091
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.stop",1567106468106
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1567106468928
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1567106469492
closed,editor,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1567106471675
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1567106479904
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1567106485154
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1567106490076
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567106490186
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567106492380
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.debug",1567106492506
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1567106504741
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1567106528928
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1567106532959
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1567106535819
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1567106536616
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567106538866
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567106538881
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567106538928
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567106539866
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1567106541381
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567106544194
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567106544772
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567106545178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567106546131
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.debug",1567106595866
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1567106608928
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1567106633506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567106635084
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567106639850
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1567106639850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567106651084
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567106652506
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1567106652725
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1567106654116
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1567106654194
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1567106654647
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1567106654975
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1567106655803
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1567106656569
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1567106658444
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1567106664850
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1567106664913
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567106666084
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567106666100
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567106666147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567106675084
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.J2EEPerspective",1567106676788
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1567106676819
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1567106677741
